timestamp,download,upload,ping,bytes_sent,bytes_received
2021-02-10T04:50:01.028258Z,116487993.23840475,11740429.028763168,17.713,14761984,145697956
2021-02-10T05:00:01.469319Z,116369995.18486467,11521862.4100276,22.988,14770176,146464380
2021-02-10T05:10:00.935064Z,111704571.97409907,11104537.935498478,21.431,14123008,141244934
2021-02-10T05:20:00.949681Z,117053496.75988522,11651043.238674788,20.682,14860288,146689660
2021-02-10T05:30:01.001158Z,116216579.8518525,11839271.321932824,25.68,14934016,146280060
2021-02-10T05:40:01.007959Z,116971438.39120445,11640977.43783239,22.522,14630912,146464380
2021-02-10T05:50:00.983818Z,116493789.95627272,11876841.46358018,24.868,15048704,145780470
2021-02-10T06:00:01.002419Z,115739868.2518917,11826553.06803369,24.347,14925824,145174140
2021-02-10T06:10:01.010154Z,115241442.2574385,11731284.257205235,23.04,14811136,146402940
2021-02-10T06:20:01.109731Z,116953023.19523378,11435148.159299513,22.704,14647296,146822780
2021-02-10T06:30:01.069767Z,116694184.21666133,11340281.963811943,20.466,14884864,146505340
2021-02-10T06:40:00.993520Z,115692952.42571159,11301013.791198265,22.56,14606336,144846460
2021-02-10T06:50:00.957320Z,116328395.65957236,10172302.99556081,17.966,14925824,146331260
2021-02-10T07:00:00.956033Z,116218368.8240372,11906102.968879417,16.486,14999552,145819260
2021-02-10T07:10:00.950330Z,114806577.18838172,11327586.471718999,21.118,14565376,145081980
2021-02-10T07:20:00.953651Z,115961002.35962433,11787083.505964443,19.127,15089664,145430140
2021-02-10T07:30:00.956408Z,116545525.77176766,11876285.025914975,22.616,15040512,146085500
2021-02-10T07:40:01.164998Z,116315507.83278945,11843679.10324005,23.574,14966784,146060688
2021-02-10T07:50:00.999381Z,116529797.75354877,11631837.898915114,23.601,14704640,146187900
2021-02-10T08:00:00.875153Z,116138138.09277135,11819262.0970144,18.506,15163392,146065020
2021-02-10T08:10:01.011220Z,116591617.4327741,11273312.026757747,21.188,14524416,146487030
2021-02-10T08:20:00.987010Z,117061124.36988308,11818657.73400357,19.511,14884864,146835974
2021-02-10T08:30:00.970620Z,116627610.19401117,11199347.944586614,22.129,14442496,145986054
2021-02-10T08:40:00.996071Z,116071261.05643567,11431131.220763905,23.401,14696448,145765898
2021-02-10T08:50:00.954165Z,116935300.73429586,11320088.314436698,19.73,14589952,146484860
2021-02-10T09:00:01.140057Z,106457666.87861109,11663245.111364216,23.265,14688256,133230462
2021-02-10T09:10:00.971769Z,116643400.33970042,11616931.936546883,20.861,14819328,146416134
